Division,Part,Item,Pay Item,Description,Unit
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (20),Facial Mirror (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (21),Faucet (   ),Piece
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (22),Hose Bibb (   ),Piece
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (23)a,Water Meter ( 20 mm dia.  ),Piece
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (23)b,Water Meter ( 25 mm dia.  ),Piece
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (23)c,Water Meter ( 32 mm dia.  ),Piece
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (24),Cold Water Lines (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (25),Hot Water Lines (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (26),Cistern (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (27),Plumbing Works (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (28)a,"Squat Bowl, Complete (   Ceramic Porcelain)",Set
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (28)b,"Squat Bowl, Complete (   Plastic)",Set
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1002 (29),"Toilet Bowl, Complete (   Plastic)",Set
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)a1,Ceiling ( 4.5 mm Metal Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)a2,Ceiling ( 4.5 mm Wood Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)b1,Ceiling ( 4.5 mm Metal Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)b2,Ceiling ( 4.5 mm Wood Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)b3,Ceiling ( 6 mm Metal Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)b4,Ceiling ( 6 mm Wood Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)c1,Ceiling ( 6 mm Metal Frame Ordinary Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)c2,Ceiling ( 6 mm Wood Frame Ordinary Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)d,Ceiling (  Metal Frame Gypsum Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)e,Ceiling (  Metal Frame Prepainted Metal Panel),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)f,Ceiling (  Metal Frame Aluminum Metal Cladding),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (1)g,Ceiling (  Wood Frame Wood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)a1,Wall ( 4.5 mm Metal Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)a2,Wall ( 4.5 mm Wood Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)a3,Wall ( 6 mm Metal Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)a4,Wall ( 10 mm Metal Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)a5,Wall ( 12 mm Metal Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)a6,Wall ( 6 mm Wood Frame Fiber Cement Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)b1,Wall ( 4.5 mm Metal Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)b2,Wall ( 4.5 mm Wood Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)b3,Wall ( 6 mm Metal Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)b4,Wall ( 6 mm Wood Frame Marine Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)c1,Wall ( 6 mm Metal Frame Ordinary Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)c2,Wall ( 6 mm Wood Frame Ordinary Plywood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (2)d,Wall (   Aluminum Metal Cladding),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (3),Cabinets (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (4),Cabinets (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (5),Roof Frame (   Wood),Board Foot
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (6),Floor Frame (   Wood),Board Foot
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (7),Flooring (   Wood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (8),Flooring (   Wood),Board Foot
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (9),Wall Frame (   Wood),Each
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (10),Wall Frame (   Wood),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (11)a1,Fascia Board ( 19 mm  Fiber Cement Board),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (11)a2,Fascia Board ( 25 mm  Lumber),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (12),Fascia Board (   Metal),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (13),Phenolic Board (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (14),Phenolic Board (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (15)a,Moulding (   Wood),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (15)b,Moulding (   Concrete),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (15)c,Moulding (   Precast),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (15)d,Moulding (   PVC),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (15)e,Moulding (   Steel),Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (16),Pressurized Laminated Wood Particles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (17),Carpentry and Joinery Works (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (18),Lawanit (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (19),Wooden Post (   Good Lumber),Board Foot
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (20),Coco Lumber (   ),Board Foot
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (21),Moulding (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (22),Modular Partition (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (23),Modular Partition (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1003 (24),Wall (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1004 (1),Rough Hardware (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1002 – PLUMBING,1004 (2),Finishing Hardware (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1005 (1),Residential Casement (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1005 (2),Heavy Duty Side-hinged Ventilator (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1005 (3),Projected Ventilator (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1005 (4),Awning Ventilator (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1005 (5),Steel Window (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1005 (6),Window Accessory (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1006 (1),Hollow Steel Door (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1006 (2),Flush Door (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1006 (3),Grille Door (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1006 (4),Steel Louver Door (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1006 (5),Fire Rated Fire Exit Steel Door (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1005 – STEEL WINDOWS,1006 (6),Steel Doors and Frames (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1007 – ALUMINUM FRAMED GLASS DOORS,1007 (1)a,Aluminum Framed Glass Door (   Sliding Type),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1007 – ALUMINUM FRAMED GLASS DOORS,1007 (1)b,Aluminum Framed Glass Door (   Swing Type),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1007 – ALUMINUM FRAMED GLASS DOORS,1007 (2),Aluminum Framed Glass Door (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1008 – ALUMINUM GLASS WINDOWS,1008 (1)a,Aluminum Glass Windows (   Sliding Type),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1008 – ALUMINUM GLASS WINDOWS,1008 (1)b,Aluminum Glass Windows (   Casement Type),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1008 – ALUMINUM GLASS WINDOWS,1008 (1)c,Aluminum Glass Windows (   Awning Type),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1008 – ALUMINUM GLASS WINDOWS,1008 (1)d,Aluminum Glass Windows (   Fixed Type),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1008 – ALUMINUM GLASS WINDOWS,1008 (2),Aluminum Glass Windows (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1009 – JALOUSIE WINDOWS,1009 (1)a,Jalousie Windows (   Glass),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1009 – JALOUSIE WINDOWS,1009 (1)b,Jalousie Windows (   Wood),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1009 – JALOUSIE WINDOWS,1009 (2),Jalousie Windows (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1010 – WOODEN DOORS AND WINDOWS,1010 (1),"Frames (   Jambs, Sills, Head, Transoms and Mullions)",Set
DIVISION II - BUILDING,PART E,ITEM 1010 – WOODEN DOORS AND WINDOWS,1010 (2)a,Doors (   Flush),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1010 – WOODEN DOORS AND WINDOWS,1010 (2)b,Doors (   Wood Panel),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1010 – WOODEN DOORS AND WINDOWS,1010 (2)c,Doors (   Glass Panel),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1010 – WOODEN DOORS AND WINDOWS,1010 (3),Window Sashes (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1010 – WOODEN DOORS AND WINDOWS,1010 (4),Wooden Doors and Windows (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1011 – ROLL-UP DOORS,1011 (1)a,Roll-Up Door (   Steel),Set
DIVISION II - BUILDING,PART E,ITEM 1011 – ROLL-UP DOORS,1011 (1)b,Roll-Up Door (   Aluminum),Set
DIVISION II - BUILDING,PART E,ITEM 1011 – ROLL-UP DOORS,1011 (2),Roll-Up Doors (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)a,Basic Annealed Float Glass ( 3 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)b,Basic Annealed Float Glass ( 4 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)c,Basic Annealed Float Glass ( 5 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)d,Basic Annealed Float Glass ( 5.6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)e,Basic Annealed Float Glass ( 6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)f,Basic Annealed Float Glass ( 8 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)g,Basic Annealed Float Glass ( 10 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (1)h,Basic Annealed Float Glass ( 12 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (2),Ordinary Window & Sheet Glass ( 5.6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (3)a1,Tempered Glass ( 4 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (3)a2,Tempered Glass ( 5 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (3)a3,Tempered Glass ( 6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (3)a4,Tempered Glass ( 8 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (3)a5,Tempered Glass ( 10 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (3)a6,Tempered Glass ( 12 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (4)a1,Laminated Safety Glass ( 6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (4)a2,Laminated Safety Glass ( 8 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (4)a3,Laminated Safety Glass ( 10 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (4)a4,Laminated Safety Glass ( 12 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (5)a1,Special Performance Glass or Processed Glass ( 6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (5)a2,Special Performance Glass or Processed Glass ( 8 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (5)a3,Special Performance Glass or Processed Glass ( 10 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (5)a4,Special Performance Glass or Processed Glass ( 12 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (6)a1,Mirror Glass ( 3 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (6)a2,Mirror Glass ( 5 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (6)a3,Mirror Glass ( 6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a1,Safety Glass ( 3 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a2,Safety Glass ( 4 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a3,Safety Glass ( 4.8 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a4,Safety Glass ( 5 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a5,Safety Glass ( 5.6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a6,Safety Glass ( 6 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a7,Safety Glass ( 6.4 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a8,Safety Glass ( 8 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a9,Safety Glass ( 10 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (7)a10,Safety Glass ( 12 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1012 (8),Glass and Glazing (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (1),Corrugated Metal Roofing ( Gauge 26 (0.551 mm)  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (2)a,Fabricated Metal Roofing Accessory ( Gauge 26 (0.551 mm)  Ridge/Hip Rolls),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (2)b,Fabricated Metal Roofing Accessory ( Gauge 26 (0.551 mm)  Flashing),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (2)c,Fabricated Metal Roofing Accessory ( Gauge 24 (0.701 mm)  Gutters),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (2)d,Fabricated Metal Roofing Accessory (   Downspouts),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (2)e,Fabricated Metal Roofing Accessory ( Gauge 24 (0.701 mm)  Valley Rolls/Gutter),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (2)f,Fabricated Metal Roofing Accessory ( Gauge 24 (0.701 mm)  Counter Flashing Gutter),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (3),Fabricated Metal Roofing Accessory ( Gauge 26 (0.551 mm)  Plain G.I. Sheet),Each
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (4),Roof Ventilators (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (5),Corrugated Asphalt Roofing ( 3 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (6)a,Fabricated Asphalt Roofing Accessory ( Gauge 26 (0.551 mm)  Ridge/Hip Rolls),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (6)b,Fabricated Asphalt Roofing Accessory ( Gauge 26 (0.551 mm)  Flashings),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (6)c,Fabricated Asphalt Roofing Accessory ( Gauge 24 (0.701 mm)  Gutters),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (6)d,Fabricated Asphalt Roofing Accessory (   Downspouts),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (6)e,Fabricated Asphalt Roofing Accessory ( Gauge 24 (0.701 mm)  Valley Rolls/Gutter),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1012 – GLASS AND GLAZING,1013 (6)f,Fabricated Asphalt Roofing Accessory ( Gauge 24 (0.701 mm)  Counter Flashing Gutter),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1014 – PRE-PAINTED METAL SHEETS,1014 (1)a1,Pre-painted Metal Sheets ( below 0.427 mm Corrugated Short Span),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1014 – PRE-PAINTED METAL SHEETS,1014 (1)a2,Pre-painted Metal Sheets ( above 0.427 mm Corrugated Long Span),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1014 – PRE-PAINTED METAL SHEETS,1014 (1)b1,Pre-painted Metal Sheets ( below 0.427 mm Rib Type Short Span),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1014 – PRE-PAINTED METAL SHEETS,1014 (1)b2,Pre-painted Metal Sheets ( above 0.427 mm Rib Type Long Span),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1015 – CLAY ROOF TILE,1015 (1),Clay Roof Tile (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1016 – WATERPROOFING,1016 (1)a,Waterproofing (   Cement-base),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1016 – WATERPROOFING,1016 (1)b,Waterproofing (   Liquid),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1016 – WATERPROOFING,1016 (2),Built-up and Preformed Membrane (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (1)a,Roof Drain with Strainer ( 50 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (1)b,Roof Drain with Strainer ( 75 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (1)c,Roof Drain with Strainer ( 100 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (1)d,Roof Drain with Strainer ( 150 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (2)a,Canopy Drain with Strainer ( 50 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (2)b,Canopy Drain with Strainer ( 75 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (2)c,Canopy Drain with Strainer ( 100 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (2)d,Canopy Drain with Strainer ( 150 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (3)a,Gutter Drain with Strainer ( 50 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (3)b,Gutter Drain with Strainer ( 75 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1017 – ROOF DRAIN WITH STRAINER,1017 (3)c,Gutter Drain with Strainer ( 100 mm dia.  ),Set
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (1),Glazed Tiles and Trims (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (2),Unglazed Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (3),Granite Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (4),Synthetic Granite Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (5),Glazed Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (6),Textured Glazed Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (7),Textured Unglazed Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (8),Glazed Tiles and Trims (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (9),Unglazed Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (10),Granite Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (11),Synthetic Granite Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (12),Glazed Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (13),Textured Glazed Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1018 – CERAMIC AND GRANITE TILES,1018 (14),Textured Unglazed Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (1)a,"Wood Tile, Flooring (   Narra)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (1)b,"Wood Tile, Flooring (   Tanguile)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (1)c,"Wood Tile, Flooring (   Other)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (1)d,"Wood Tile, Flooring (   Laminated)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (2)a,"Wood Tile, Walls (   Narra)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (2)b,"Wood Tile, Walls (   Tanguile)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (2)c,"Wood Tile, Walls (   Other)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (2)d,"Wood Tile, Walls (   Laminated)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (3)a,"Wood Tile, Ceiling (   Narra)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (3)b,"Wood Tile, Ceiling (   Tanguile)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (3)c,"Wood Tile, Ceiling (   Other)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1019 – WOOD TILES,1019 (3)d,"Wood Tile, Ceiling (   Laminated)",Square Meter
DIVISION II - BUILDING,PART E,ITEM 1020 – VINYL FLOOR TILES,1020 (1)a,Vinyl Floor Tile (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1020 – VINYL FLOOR TILES,1020 (1)b,Vinyl Floor Tile (   ),Lump Sum
