NO,Complete Description,DESCRIPTION,MODEL,CAPACITY,FLYWHEEL HORSEPOWER, RENTAL RATES 
82,1 Air Compressor with 2 Jack Hammer  ,1 Air Compressor with 2 Jack Hammer,,,," 1,265.00 "
83,Cutting Outfit  ,Cutting Outfit,,,, 45.45 
84,Pile Integrity Testing (Sonic) & Accessories (Includes professional fee of Structural Engineer and reports)  ,Pile Integrity Testing (Sonic) & Accessories (Includes professional fee of Structural Engineer and reports),,,," 65,000.00 "
85,Pile Integrity Testing & Accessories (Includes professional fee of Structural Engineer and reports)  ,Pile Integrity Testing & Accessories (Includes professional fee of Structural Engineer and reports),,,," 37,000.00 "
86,Dynamic Pile Testing (Includes professional fee of Structural Engineer)  ,Dynamic Pile Testing (Includes professional fee of Structural Engineer),,,," 103,000.00 "
87,"Lighting System/Tower Lights Tower Height = 28 ft., No. of Lights = 4 x 1000 watts, hp = 10.50, Generator = 5 kW ",Lighting System/Tower Lights,"Tower Height = 28 ft., No. of Lights = 4 x 1000 watts, hp = 10.50, Generator = 5 kW",,, 543.50 
88,Bentonite Bin  ,Bentonite Bin,,,, 280.00 
89,Bentonite Mixer  ,Bentonite Mixer,,,, 173.00 
90,SPT & Desanding Machine  ,SPT & Desanding Machine,,,, 559.00 
91,Tremie Pipe Set  ,Tremie Pipe Set,,,, 320.00 
92,Concrete Batch Plant Complete  ,Concrete Batch Plant,Complete ,,," 1,759.50 "
93,Applicator Machine  ,Applicator Machine,,,, 93.75 
94,Kneading Machine,,,,, 187.50 
95,Power Boom Towed Type with Engine 2 m wide 6-30 km/h sweeping capacity ,Power Boom,Towed Type with Engine 2 m wide 6-30 km/h sweeping capacity,,, 219.30 
