Material Code ,Material Description,Unit, Price 
MS06.0105,"ELECTRIC WIRE, THWN/THHN, 14 AWG (2 mm Ø)",M, 23.47 
MS06.0106,"ELECTRIC WIRE, THWN/THHN, 12 AWG (3.5 mm Ø)",M, 35.20 
MS06.0107,"ELECTRIC WIRE, THWN/THHN, 10 AWG (5.5 mm Ø)",M, 51.04 
MS06.0108,"NETWORK CABLE, CAT-5E",M, 27.28 
MS06.0109,ONE-GANG SWITCH,PC, 88.00 
MS06.0110,TWO-GANG SWITCH,PC, 123.20 
MS06.0111,THREE-GANG SWITCH,PC, 148.28 
MS06.0112,"DUPLEX CONVENIENCE OUTLET, GROUNDING TYPE",PC, 150.92 
MS06.0113,"SIMPLEX CONVENIENCE OUTLET, GROUNDING TYPE",PC, 135.08 
MS06.0114,ACU OUTLET,PC, 144.32 
MS06.0115,"FLOOR OUTLET, POP-UP",PC," 3,459.28 "
MS06.0116,SIMPLEX TELEPHONE OUTLET,PC, 190.08 
MS06.0117,"SQUARE BOX, GA 16 (4"" x 4"" x 2"")",PC, 29.04 
MS06.0118,"UTILITY BOX, GA 16 (2"" x 4"" x 2"")",PC, 29.04 
MS06.0119,"OCTAGONAL JUNCTION BOX, GA 16 (4"" x 4"" x 2"")",PC, 31.90 
MS06.0120,"METAL PULL BOX, GA 16 (6"" x 6"" x 4"")",PC, 343.20 
MS06.0121,"METAL PULL BOX, GA 16 (12"" x 12"" x 4"")",PC, 725.12 
MS06.0122,"MICA TUBING (1/2"" Ø)",M, 43.12 
MS06.0123,ELECTRICAL TAPE (19 mm x 20 m),PC, 39.60 
MS07.0001,"CAT'S EYE REFLECTIVE STUD, FLUSH SURFACE (180 mm x 140 mm)",PC, 586.96 
MS07.0002,"CAT'S EYE REFLECTIVE STUD, RAISED PROFILE (100 mm x 100 mm)",PC, 586.96 
MS07.0003,METAL FLEX BEAM (254 mm width),M," 1,399.20 "
MS07.0004,METAL FLEX BEAM (305 mm width),M," 1,716.00 "
MS07.0005,METAL FLEX BEAM (355 mm width),M," 2,002.00 "
MS07.0006,GUARDRAIL END PIECE (FISH TAIL),M," 1,320.00 "
MS07.0007,GUARDRAIL END PIECE (BULL NOSE),M," 1,320.00 "
MS07.0008,WIRE ROPE / CABLE (12.5 mm Ø),M, 95.92 
MS07.0009,WIRE ROPE / CABLE (19 mm Ø),M, 219.12 
MS07.0010,WIRE ROPE / CABLE (25.4 mm Ø),M, 329.12 
MS07.0011,"GI BOLT WITH NUT & WASHER (5/8"" Ø x 1"")",PC, 20.24 
MS07.0012,"GI BOLT WITH NUT & WASHER (5/8"" Ø x 9"")",PC, 27.28 
MS07.0013,"ROAD SIGN, CIRCLE (450 mm, 3 mm thk aluminum sheet)",PC," 3,388.00 "
MS07.0014,"ROAD SIGN, CIRCLE (600 mm, 3 mm thk aluminum sheet)",PC," 4,928.00 "
MS07.0015,"ROAD SIGN, CIRCLE (900 mm, 3 mm thk aluminum sheet)",PC," 7,040.00 "
MS07.0016,"ROAD SIGN, OCTAGON (450 mm x 450 mm, 3 mm thk aluminum sheet)",PC," 3,625.60 "
MS07.0017,"ROAD SIGN, OCTAGON (600 mm x 600 mm, 3 mm thk aluminum sheet)",PC," 4,664.00 "
MS07.0018,"ROAD SIGN, OCTAGON (900 mm x 900 mm, 3 mm thk aluminum sheet)",PC," 7,524.00 "
MS07.0019,"ROAD SIGN, RECTANGLE (400 mm x 600 mm, 3 mm thk aluminum sheet)",PC," 3,960.00 "
MS07.0020,"ROAD SIGN, RECTANGLE (600 mm x 1000 mm, 3 mm thk aluminum sheet)",PC," 10,648.00 "
MS07.0021,"ROAD SIGN, RECTANGLE (1500 mm x 1800 mm, 3 mm thk aluminum sheet)",PC," 31,680.00 "
MS07.0022,"ROAD SIGN, TRIANGLE (450 mm, 3 mm thk aluminum sheet)",PC," 1,320.00 "
MS07.0023,"ROAD SIGN, TRIANGLE (600 mm, 3 mm thk aluminum sheet)",PC," 2,816.00 "
MS07.0024,"ROAD SIGN, TRIANGLE (900 mm, 3 mm thk aluminum sheet)",PC," 4,136.00 "
MS07.0025,"CHEVRON SIGN (400 mm x 600 mm, 3 mm thk aluminum sheet)",PC," 4,092.00 "
MS07.0026,"CHEVRON SIGN (600 mm x 800 mm, 3 mm thk aluminum sheet)",PC," 7,568.00 "
MS07.0027,"REFLECTORIZED TRAFFIC PAINT, WHITE",LTR, 417.68 
MS07.0028,"REFLECTORIZED TRAFFIC PAINT, YELLOW",LTR, 440.89 
MS07.0029,"THERMOPLASTIC PAINT, WHITE (25 kg)",BAG," 1,672.00 "
MS07.0030,"THERMOPLASTIC PAINT, YELLOW (25 kg)",BAG," 1,826.00 "
MS07.0031,GLASS BEADS (25 kg),BAG," 1,020.80 "
MS07.0032,PRIMER,LTR, 211.20 
MS08.0001,"CORRUGATED ROOFING SHEET, GA 26",SQM, 393.36 
MS08.0002,"RIB-TYPE ROOFING SHEET, GA 26",SQM, 538.56 
MS08.0003,"FLASHING, GA 26 (0.61 m x 2.44 m)",PC, 180.84 
MS08.0004,"GUTTER, GA 24 (0.61 m x 2.44 m)",PC, 168.52 
MS08.0005,"RIDGE ROLL, GA 26 (0.61 m x 2.44 m)",PC, 182.62 
MS08.0006,"GI SHEET, PLAIN, GA 16 (1.22 m x 2.44 m)",PC," 1,322.89 "
MS08.0007,"GI SHEET, PLAIN, GA 20 (1.22 m x 2.44 m)",PC, 929.76 
MS08.0008,"GI SHEET, PLAIN, GA 26 (1.22 m x 2.44 m)",PC, 537.14 
