Material Code ,Material Description,Unit, Price 
MG08.0002,"GI PIPE, SCHEDULE 40 (3/4"" | 19 mm Ø)",PC, 365.36 
MG08.0003,"GI PIPE, SCHEDULE 40 (1"" | 25.4 mm Ø)",PC, 608.92 
MG08.0004,"GI PIPE, SCHEDULE 40 (1 1/2"" | 38 mm Ø)",PC, 917.72 
MG08.0005,"GI PIPE, SCHEDULE 40 (2"" | 50 mm Ø)",PC," 1,168.36 "
MG08.0006,"GI PIPE, SCHEDULE 40 (2 1/2"" | 63 mm Ø)",PC," 2,112.00 "
MG08.0007,"GI PIPE, SCHEDULE 40 (3"" | 76 mm Ø)",PC," 3,873.21 "
MG08.0008,"GI PIPE, SCHEDULE 40 (3 1/2"" | 89 mm Ø)",PC," 4,567.20 "
MG08.0009,"GI PIPE, SCHEDULE 40 (4"" | 101 mm Ø)",PC," 5,718.24 "
MG08.0010,"GI PIPE, SCHEDULE 40 (5"" | 127 mm Ø)",PC," 7,757.20 "
MG08.0011,"GI PIPE, SCHEDULE 40 (6"" | 152.4 mm Ø)",PC," 12,676.40 "
MG08.0012,"PVC PIPE (1/2"" | 12.7 mm Ø)",PC, 58.92 
MG08.0013,"PVC PIPE (3/4"" | 19 mm Ø)",PC, 88.00 
MG08.0014,"PVC PIPE (1"" | 25.4 mm Ø)",PC, 129.09 
MG08.0015,"PVC PIPE (1 1/2"" | 38 mm Ø)",PC, 213.72 
MG08.0016,"PVC PIPE (2"" | 50 mm Ø)",PC, 295.04 
MG08.0017,"PVC PIPE (2 1/2"" | 63 mm Ø)",PC, 377.14 
MG08.0018,"PVC PIPE (3"" | 76 mm Ø)",PC, 463.58 
MG08.0019,"PVC PIPE (3 1/2"" | 89 mm Ø)",PC, 572.00 
MG08.0020,"PVC PIPE (4"" | 101 mm Ø)",PC, 670.56 
MG08.0021,"REINFORCED CONCRETE PIPE, CLASS II (12"" | 300 mm Ø)",PC, 440.58 
MG08.0022,"REINFORCED CONCRETE PIPE, CLASS II (18"" | 460 mm Ø)",PC, 921.69 
MG08.0023,"REINFORCED CONCRETE PIPE, CLASS II (24"" | 610 mm Ø)",PC," 1,496.66 "
MG08.0024,"REINFORCED CONCRETE PIPE, CLASS II (30"" | 760 mm Ø)",PC," 1,777.29 "
MG08.0025,"REINFORCED CONCRETE PIPE, CLASS II (36"" | 910 mm Ø)",PC," 2,947.50 "
MG08.0026,"REINFORCED CONCRETE PIPE, CLASS II (42"" | 1070 mm Ø)",PC," 3,554.58 "
MG08.0027,"REINFORCED CONCRETE PIPE, CLASS II (48"" | 1220 mm Ø)",PC," 4,421.25 "
MG08.0028,"REINFORCED CONCRETE PIPE, CLASS II (54"" | 1370 mm Ø)",PC," 4,973.91 "
MG08.0029,"REINFORCED CONCRETE PIPE, CLASS II (60"" | 1524 mm Ø)",PC," 4,973.91 "
MG08.0030,"REINFORCED CONCRETE PIPE, CLASS IV (12"" | 300 mm Ø)",PC, 628.19 
MG08.0031,"REINFORCED CONCRETE PIPE, CLASS IV (18"" | 460 mm Ø)",PC, 908.06 
MG08.0032,"REINFORCED CONCRETE PIPE, CLASS IV (24"" | 610 mm Ø)",PC," 1,569.79 "
MG08.0033,"REINFORCED CONCRETE PIPE, CLASS IV (30"" | 760 mm Ø)",PC," 2,109.36 "
MG08.0034,"REINFORCED CONCRETE PIPE, CLASS IV (36"" | 910 mm Ø)",PC," 3,041.97 "
MG08.0035,"REINFORCED CONCRETE PIPE, CLASS IV (42"" | 1070 mm Ø)",PC," 3,478.05 "
MG08.0036,"REINFORCED CONCRETE PIPE, CLASS IV (48"" | 1220 mm Ø)",PC," 4,219.66 "
MG08.0037,"REINFORCED CONCRETE PIPE, CLASS IV (54"" | 1370 mm Ø)",PC," 5,622.42 "
MG08.0038,"REINFORCED CONCRETE PIPE, CLASS IV (60"" | 1524 mm Ø)",PC," 6,541.68 "
MG09.0001,"READY-MIX CONCRETE, 3000 PSI @ 28 DAYS, G1",CUM," 4,712.40 "
MG09.0002,"READY-MIX CONCRETE, 3000 PSI @ 14 DAYS, G1",CUM," 4,770.61 "
MG09.0003,"READY-MIX CONCRETE, 3000 PSI @ 7 DAYS, G1",CUM," 5,266.80 "
MG09.0004,"READY-MIX CONCRETE, 3000 PSI @ 3 DAYS, G1",CUM," 5,222.06 "
MG09.0005,"READY-MIX CONCRETE, 3500 PSI @ 28 DAYS, G1",CUM," 4,770.62 "
MG09.0006,"READY-MIX CONCRETE, 3500 PSI @ 14 DAYS, G1",CUM," 5,150.78 "
MG09.0007,"READY-MIX CONCRETE, 3500 PSI @ 7 DAYS, G1",CUM," 5,451.60 "
MG09.0008,"READY-MIX CONCRETE, 3500 PSI @ 3 DAYS, G1",CUM," 5,660.59 "
MG09.0009,"READY-MIX CONCRETE, 4000 PSI @ 28 DAYS, G1",CUM," 4,910.85 "
MG09.0010,"READY-MIX CONCRETE, 4000 PSI @ 14 DAYS, G1",CUM," 5,128.82 "
MG09.0011,"READY-MIX CONCRETE, 4500 PSI @ 28 DAYS, G1",CUM," 5,497.80 "
MG09.0012,"READY-MIX CONCRETE, 5000 PSI @ 28 DAYS, G1",CUM," 5,752.81 "
MG10.0001,REINFORCING STEEL BAR (GRADE 40),KG, 38.89 
MG10.0002,REINFORCING STEEL BAR (GRADE 60),KG, 39.79 
MG10.0003,GI TIE WIRE #16,KG, 59.72 
MG10.0004,ANGULAR BAR (A36),KG, 64.57 
MG10.0005,CHANNEL BAR (A36),KG, 66.00 
